digital,TV,radio,newspaper,sales
345.15,156,37.8,69.2,22.1
66.75,46,39.3,45.1,10.4
25.8,18.3,45.9,69.3,9.3
227.25,145.1,41.3,58.5,18.5
271.2,165.2,10.8,58.4,12.9
13.05,8.7,48.9,75,7.2
86.25,57.5,32.8,23.5,11.8
180.3,120.2,19.6,11.6,13.2
12.9,8.6,2.1,1,4.8
299.7,199.8,2.6,21.2,10.6
99.15,66.1,5.8,24.2,8.6
322.05,214.7,24,4,17.4
35.7,23.8,35.1,65.9,9.2
146.25,97.5,7.6,7.2,9.7
306.15,204.1,32.9,46,19
293.1,195.4,47.7,52.9,22.4
101.7,67.8,36.6,114,12.5
422.1,281.4,39.6,55.8,24.4
103.8,69.2,20.5,18.3,11.3
220.95,147.3,23.9,19.1,14.6
327.6,218.4,27.7,53.4,18
356.1,237.4,5.1,23.5,12.5
19.8,13.2,15.9,49.6,5.6
342.45,228.3,16.9,26.2,15.5
93.45,62.3,12.6,18.3,9.7
394.35,262.9,3.5,19.5,12
214.35,142.9,29.3,12.6,15
360.15,240.1,16.7,22.9,15.9
373.2,248.8,27.1,22.9,18.9
105.9,70.6,16,40.8,10.5
439.35,292.9,28.3,43.2,21.4
169.35,112.9,17.4,38.6,11.9
145.8,97.2,1.5,30,9.6
398.4,265.6,20,0.3,17.4
143.55,95.7,1.4,7.4,9.5
436.05,290.7,4.1,8.5,12.8
400.35,266.9,43.8,5,25.4
112.05,74.7,49.4,45.7,14.7
64.65,43.1,26.7,35.1,10.1
342,228,37.7,32,21.5
303.75,202.5,22.3,31.6,16.6
265.5,177,33.4,38.7,17.1
440.4,293.6,27.7,1.8,20.7
310.35,206.9,8.4,26.4,12.9
37.65,25.1,25.7,43.3,8.5
262.65,175.1,22.5,31.5,14.9
134.55,89.7,9.9,35.7,10.6
359.85,239.9,41.5,18.5,23.2
340.8,227.2,15.8,49.9,14.8
100.35,66.9,11.7,36.8,9.7
299.7,199.8,3.1,34.6,11.4
150.6,100.4,9.6,3.6,10.7
324.6,216.4,41.7,39.6,22.6
273.9,182.6,46.2,58.7,21.2
394.05,262.7,28.8,15.9,20.2
298.35,198.9,49.4,60,23.7
10.95,7.3,28.1,41.4,5.5
204.3,136.2,19.2,16.6,13.2
316.2,210.8,49.6,37.7,23.8
316.05,210.7,29.5,9.3,18.4
80.25,53.5,2,21.4,8.1
391.95,261.3,42.7,54.7,24.2
358.95,239.3,15.5,27.3,15.7
154.05,102.7,29.6,8.4,14
196.65,131.1,42.8,28.9,18
103.5,69,9.3,0.9,9.3
47.25,31.5,24.6,2.2,9.5
208.95,139.3,14.5,10.2,13.4
356.1,237.4,27.5,11,18.9
325.2,216.8,43.9,27.2,22.3
298.65,199.1,30.6,38.7,18.3
164.7,109.8,14.3,31.7,12.4
40.2,26.8,33,19.3,8.8
194.1,129.4,5.7,31.3,11
320.1,213.4,24.6,13.1,17
25.35,16.9,43.7,89.4,8.7
41.25,27.5,1.6,20.7,6.9
180.75,120.5,28.5,14.2,14.2
8.1,5.4,29.9,9.4,5.3
174,116,7.7,23.1,11
114.6,76.4,26.7,22.3,11.8
359.7,239.8,4.1,36.9,12.3
112.95,75.3,20.3,32.5,11.3
102.6,68.4,44.5,35.6,13.6
320.25,213.5,43,33.8,21.7
289.8,193.2,18.4,65.7,15.2
114.45,76.3,27.5,16,12
166.05,110.7,40.6,63.2,16
132.45,88.3,25.5,73.4,12.9
164.7,109.8,47.8,51.4,16.7
201.45,134.3,4.9,9.3,11.2
42.9,28.6,1.5,33,7.3
326.55,217.7,33.5,59,19.4
376.35,250.9,36.5,72.3,22.2
161.1,107.4,14,10.9,11.5
244.95,163.3,31.6,52.9,16.9
296.4,197.6,3.5,5.9,11.7
277.35,184.9,21,22,15.5
434.55,289.7,42.3,51.2,25.4
202.8,135.2,41.7,45.9,17.2
333.6,222.4,4.3,49.8,11.7
444.6,296.4,36.3,100.9,23.8
420.3,280.2,10.1,21.4,14.8
281.85,187.9,17.2,17.9,14.7
357.3,238.2,34.3,5.3,20.7
206.85,137.9,46.4,59,19.2
37.5,25,11,29.7,7.2
135.6,90.4,0.3,23.2,8.7
19.65,13.1,0.4,25.6,5.3
383.1,255.4,26.9,5.5,19.8
338.7,225.8,8.2,56.5,13.4
362.55,241.7,38,23.2,21.8
263.55,175.7,15.4,2.4,14.1
314.4,209.6,20.6,10.7,15.9
117.3,78.2,46.8,34.5,14.6
112.65,75.1,35,52.7,12.6
208.8,139.2,14.3,25.6,12.2
114.6,76.4,0.8,14.8,9.4
188.55,125.7,36.9,79.2,15.9
29.1,19.4,16,22.3,6.6
211.95,141.3,26.8,46.2,15.5
28.2,18.8,21.7,50.4,7
336,224,2.4,15.6,11.6
184.65,123.1,34.6,12.4,15.2
344.25,229.5,32.3,74.2,19.7
130.8,87.2,11.8,25.9,10.6
11.7,7.8,38.9,50.6,6.6
120.3,80.2,0,9.2,8.8
330.45,220.3,49,3.2,24.7
89.4,59.6,12,43.1,9.7
1.05,0.7,39.6,8.7,1.6
397.8,265.2,2.9,43,12.7
12.6,8.4,27.2,2.1,5.7
329.7,219.8,33.5,45.1,19.6
55.35,36.9,38.6,65.6,10.8
72.45,48.3,47,8.5,11.6
38.4,25.6,39,9.3,9.5
410.55,273.7,28.9,59.7,20.8
64.5,43,25.9,20.5,9.6
277.35,184.9,43.9,1.7,20.7
110.1,73.4,17,12.9,10.9
290.55,193.7,35.4,75.6,19.2
330.75,220.5,33.2,37.9,20.1
156.9,104.6,5.7,34.4,10.4
144.3,96.2,14.8,38.9,11.4
210.45,140.3,1.9,9,10.3
360.15,240.1,7.3,8.7,13.2
364.8,243.2,49,44.3,25.4
57,38,40.3,11.9,10.9
67.05,44.7,25.8,20.6,10.1
421.05,280.7,13.9,37,16.1
181.5,121,8.4,48.7,11.6
296.4,197.6,23.3,14.2,16.6
256.95,171.3,39.7,37.7,19
281.7,187.8,21.1,9.5,15.6
6.15,4.1,11.6,5.7,3.2
140.85,93.9,43.5,50.5,15.3
224.7,149.8,1.3,24.3,10.1
17.55,11.7,36.9,45.2,7.3
197.55,131.7,18.4,34.6,12.9
258.75,172.5,18.1,30.7,14.4
128.55,85.7,35.8,49.3,13.3
282.6,188.4,18.1,25.6,14.9
245.25,163.5,36.8,7.4,18
175.8,117.2,14.7,5.4,11.9
351.75,234.5,3.4,84.8,11.9
26.85,17.9,37.6,21.6,8
310.2,206.8,5.2,19.4,12.2
323.1,215.4,23.6,57.6,17.1
426.45,284.3,10.6,6.4,15
75,50,11.6,18.4,8.4
246.75,164.5,20.9,47.4,14.5
29.4,19.6,20.1,17,7.6
252.6,168.4,7.1,12.8,11.7
333.6,222.4,3.4,13.1,11.5
415.35,276.9,48.9,41.8,27
372.6,248.4,30.2,20.3,20.2
255.3,170.2,7.8,35.2,11.7
415.05,276.7,2.3,23.7,11.8
248.4,165.6,10,17.6,12.6
234.9,156.6,2.6,8.3,10.5
327.75,218.5,5.4,27.4,12.2
84.3,56.2,5.7,29.7,8.7
431.4,287.6,43,71.8,26.2
380.7,253.8,21.3,30,17.6
307.5,205,45.1,19.6,22.6
209.25,139.5,2.1,26.6,10.3
286.65,191.1,28.7,18.2,17.3
429,286,13.9,3.7,15.9
28.05,18.7,12.1,23.4,6.7
59.25,39.5,41.1,5.8,10.8
113.25,75.5,10.8,6,9.9
25.8,17.2,4.1,31.6,5.9
250.2,166.8,42,3.6,19.6
224.55,149.7,35.6,6,17.3
57.3,38.2,3.7,13.8,7.6
141.3,94.2,4.9,8.1,9.7
265.5,177,9.3,6.4,12.8
425.4,283.6,42,66.2,25.5
348.15,232.1,8.6,8.7,13.4
345.15,230.1,37.8,69.2,22.1
66.75,44.5,39.3,45.1,10.4
25.8,17.2,45.9,69.3,9.3
227.25,151.5,41.3,58.5,18.5
271.2,180.8,10.8,58.4,12.9
13.05,8.7,48.9,75,7.2
86.25,57.5,32.8,23.5,11.8
180.3,120.2,19.6,11.6,13.2
12.9,8.6,2.1,1,4.8
299.7,199.8,2.6,21.2,10.6
99.15,66.1,5.8,24.2,8.6
322.05,214.7,24,4,17.4
35.7,23.8,35.1,65.9,9.2
146.25,97.5,7.6,7.2,9.7
306.15,204.1,32.9,46,19
293.1,195.4,47.7,52.9,22.4
101.7,67.8,36.6,114,12.5
422.1,281.4,39.6,55.8,24.4
103.8,69.2,20.5,18.3,11.3
220.95,147.3,23.9,19.1,14.6
327.6,218.4,27.7,53.4,18
356.1,237.4,5.1,23.5,12.5
19.8,13.2,15.9,49.6,5.6
342.45,228.3,16.9,26.2,15.5
93.45,62.3,12.6,18.3,9.7
394.35,262.9,3.5,19.5,12
214.35,142.9,29.3,12.6,15
360.15,240.1,16.7,22.9,15.9
373.2,248.8,27.1,22.9,18.9
105.9,70.6,16,40.8,10.5
439.35,292.9,28.3,43.2,21.4
169.35,112.9,17.4,38.6,11.9
145.8,97.2,1.5,30,9.6
398.4,265.6,20,0.3,17.4
143.55,95.7,1.4,7.4,9.5
436.05,290.7,4.1,8.5,12.8
400.35,266.9,43.8,5,25.4
112.05,74.7,49.4,45.7,14.7
64.65,43.1,26.7,35.1,10.1
342,228,37.7,32,21.5
303.75,202.5,22.3,31.6,16.6
265.5,177,33.4,38.7,17.1
440.4,293.6,27.7,1.8,20.7
310.35,206.9,8.4,26.4,12.9
37.65,25.1,25.7,43.3,8.5
262.65,175.1,22.5,31.5,14.9
134.55,89.7,9.9,35.7,10.6
359.85,239.9,41.5,18.5,23.2
340.8,227.2,15.8,49.9,14.8
100.35,66.9,11.7,36.8,9.7
299.7,199.8,3.1,34.6,11.4
150.6,100.4,9.6,3.6,10.7
324.6,216.4,41.7,39.6,22.6
273.9,182.6,46.2,58.7,21.2
394.05,262.7,28.8,15.9,20.2
298.35,198.9,49.4,60,23.7
10.95,7.3,28.1,41.4,5.5
204.3,136.2,19.2,16.6,13.2
316.2,210.8,49.6,37.7,23.8
316.05,210.7,29.5,9.3,18.4
80.25,53.5,2,21.4,8.1
391.95,261.3,42.7,54.7,24.2
358.95,239.3,15.5,27.3,15.7
154.05,102.7,29.6,8.4,14
196.65,131.1,42.8,28.9,18
103.5,69,9.3,0.9,9.3
47.25,31.5,24.6,2.2,9.5
208.95,139.3,14.5,10.2,13.4
356.1,237.4,27.5,11,18.9
325.2,216.8,43.9,27.2,22.3
298.65,199.1,30.6,38.7,18.3
164.7,109.8,14.3,31.7,12.4
40.2,26.8,33,19.3,8.8
194.1,129.4,5.7,31.3,11
320.1,213.4,24.6,13.1,17
25.35,16.9,43.7,89.4,8.7
41.25,27.5,1.6,20.7,6.9
180.75,120.5,28.5,14.2,14.2
8.1,5.4,29.9,9.4,5.3
174,116,7.7,23.1,11
114.6,76.4,26.7,22.3,11.8
359.7,239.8,4.1,36.9,12.3
112.95,75.3,20.3,32.5,11.3
102.6,68.4,44.5,35.6,13.6
320.25,213.5,43,33.8,21.7
289.8,193.2,18.4,65.7,15.2
114.45,76.3,27.5,16,12
166.05,110.7,40.6,63.2,16
132.45,88.3,25.5,73.4,12.9
164.7,109.8,47.8,51.4,16.7
201.45,134.3,4.9,9.3,11.2
42.9,28.6,1.5,33,7.3
326.55,217.7,33.5,59,19.4
376.35,250.9,36.5,72.3,22.2
161.1,107.4,14,10.9,11.5
244.95,163.3,31.6,52.9,16.9
296.4,197.6,3.5,5.9,11.7
277.35,184.9,21,22,15.5
434.55,289.7,42.3,51.2,25.4
202.8,135.2,41.7,45.9,17.2
333.6,222.4,4.3,49.8,11.7
444.6,296.4,36.3,100.9,23.8
420.3,280.2,10.1,21.4,14.8
281.85,187.9,17.2,17.9,14.7
357.3,238.2,34.3,5.3,20.7
206.85,137.9,46.4,59,19.2
37.5,25,11,29.7,7.2
135.6,90.4,0.3,23.2,8.7
19.65,13.1,0.4,25.6,5.3
383.1,255.4,26.9,5.5,19.8
338.7,225.8,8.2,56.5,13.4
362.55,241.7,38,23.2,21.8
263.55,175.7,15.4,2.4,14.1
314.4,209.6,20.6,10.7,15.9
117.3,78.2,46.8,34.5,14.6
112.65,75.1,35,52.7,12.6
208.8,139.2,14.3,25.6,12.2
114.6,76.4,0.8,14.8,9.4
188.55,125.7,36.9,79.2,15.9
29.1,19.4,16,22.3,6.6
211.95,141.3,26.8,46.2,15.5
28.2,18.8,21.7,50.4,7
336,224,2.4,15.6,11.6
184.65,123.1,34.6,12.4,15.2
344.25,229.5,32.3,74.2,19.7
130.8,87.2,11.8,25.9,10.6
11.7,7.8,38.9,50.6,6.6
120.3,80.2,0,9.2,8.8
330.45,220.3,49,3.2,24.7
89.4,59.6,12,43.1,9.7
1.05,0.7,39.6,8.7,1.6
397.8,265.2,2.9,43,12.7
12.6,8.4,27.2,2.1,5.7
329.7,219.8,33.5,45.1,19.6
55.35,36.9,38.6,65.6,10.8
72.45,48.3,47,8.5,11.6
38.4,25.6,39,9.3,9.5
410.55,273.7,28.9,59.7,20.8
64.5,43,25.9,20.5,9.6
277.35,184.9,43.9,1.7,20.7
110.1,73.4,17,12.9,10.9
290.55,193.7,35.4,75.6,19.2
330.75,220.5,33.2,37.9,20.1
156.9,104.6,5.7,34.4,10.4
144.3,96.2,14.8,38.9,11.4
210.45,140.3,1.9,9,10.3
360.15,240.1,7.3,8.7,13.2
364.8,243.2,49,44.3,25.4
57,38,40.3,11.9,10.9
67.05,44.7,25.8,20.6,10.1
421.05,280.7,13.9,37,16.1
181.5,121,8.4,48.7,11.6
296.4,197.6,23.3,14.2,16.6
256.95,171.3,39.7,37.7,19
281.7,187.8,21.1,9.5,15.6
6.15,4.1,11.6,5.7,3.2
140.85,93.9,43.5,50.5,15.3
224.7,149.8,1.3,24.3,10.1
17.55,11.7,36.9,45.2,7.3
197.55,131.7,18.4,34.6,12.9
258.75,172.5,18.1,30.7,14.4
128.55,85.7,35.8,49.3,13.3
282.6,188.4,18.1,25.6,14.9
245.25,163.5,36.8,7.4,18
175.8,117.2,14.7,5.4,11.9
351.75,234.5,3.4,84.8,11.9
26.85,17.9,37.6,21.6,8
310.2,206.8,5.2,19.4,12.2
323.1,215.4,23.6,57.6,17.1
426.45,284.3,10.6,6.4,15
75,50,11.6,18.4,8.4
246.75,164.5,20.9,47.4,14.5
29.4,19.6,20.1,17,7.6
252.6,168.4,7.1,12.8,11.7
333.6,222.4,3.4,13.1,11.5
415.35,276.9,48.9,41.8,27
372.6,248.4,30.2,20.3,20.2
255.3,170.2,7.8,35.2,11.7
415.05,276.7,2.3,23.7,11.8
248.4,165.6,10,17.6,12.6
234.9,156.6,2.6,8.3,10.5
327.75,218.5,5.4,27.4,12.2
84.3,56.2,5.7,29.7,8.7
431.4,287.6,43,71.8,26.2
380.7,253.8,21.3,30,17.6
307.5,205,45.1,19.6,22.6
209.25,139.5,2.1,26.6,10.3
286.65,191.1,28.7,18.2,17.3
429,286,13.9,3.7,15.9
28.05,18.7,12.1,23.4,6.7
59.25,39.5,41.1,5.8,10.8
113.25,75.5,10.8,6,9.9
25.8,17.2,4.1,31.6,5.9
250.2,166.8,42,3.6,19.6
224.55,149.7,35.6,6,17.3
57.3,38.2,3.7,13.8,7.6
141.3,94.2,4.9,8.1,9.7
265.5,177,9.3,6.4,12.8
425.4,283.6,42,66.2,25.5
348.15,232.1,8.6,8.7,13.4
345.15,230.1,37.8,69.2,22.1
66.75,44.5,39.3,45.1,10.4
25.8,17.2,45.9,69.3,9.3
227.25,151.5,41.3,58.5,18.5
271.2,180.8,10.8,58.4,12.9
13.05,8.7,48.9,75,7.2
86.25,57.5,32.8,23.5,11.8
180.3,120.2,19.6,11.6,13.2
12.9,8.6,2.1,1,4.8
299.7,199.8,2.6,21.2,10.6
99.15,66.1,5.8,24.2,8.6
322.05,214.7,24,4,17.4
35.7,23.8,35.1,65.9,9.2
146.25,97.5,7.6,7.2,9.7
306.15,204.1,32.9,46,19
293.1,195.4,47.7,52.9,22.4
101.7,67.8,36.6,114,12.5
422.1,281.4,39.6,55.8,24.4
103.8,69.2,20.5,18.3,11.3
220.95,147.3,23.9,19.1,14.6
327.6,218.4,27.7,53.4,18
356.1,237.4,5.1,23.5,12.5
19.8,13.2,15.9,49.6,5.6
342.45,228.3,16.9,26.2,15.5
93.45,62.3,12.6,18.3,9.7
394.35,262.9,3.5,19.5,12
214.35,142.9,29.3,12.6,15
360.15,240.1,16.7,22.9,15.9
373.2,248.8,27.1,22.9,18.9
105.9,70.6,16,40.8,10.5
439.35,292.9,28.3,43.2,21.4
169.35,112.9,17.4,38.6,11.9
145.8,97.2,1.5,30,9.6
398.4,265.6,20,0.3,17.4
143.55,95.7,1.4,7.4,9.5
436.05,290.7,4.1,8.5,12.8
400.35,266.9,43.8,5,25.4
112.05,74.7,49.4,45.7,14.7
64.65,43.1,26.7,35.1,10.1
342,228,37.7,32,21.5
303.75,202.5,22.3,31.6,16.6
265.5,177,33.4,38.7,17.1
440.4,293.6,27.7,1.8,20.7
310.35,206.9,8.4,26.4,12.9
37.65,25.1,25.7,43.3,8.5
262.65,175.1,22.5,31.5,14.9
134.55,89.7,9.9,35.7,10.6
359.85,239.9,41.5,18.5,23.2
340.8,227.2,15.8,49.9,14.8
100.35,66.9,11.7,36.8,9.7
299.7,199.8,3.1,34.6,11.4
150.6,100.4,9.6,3.6,10.7
324.6,216.4,41.7,39.6,22.6
273.9,182.6,46.2,58.7,21.2
394.05,262.7,28.8,15.9,20.2
298.35,198.9,49.4,60,23.7
10.95,7.3,28.1,41.4,5.5
204.3,136.2,19.2,16.6,13.2
316.2,210.8,49.6,37.7,23.8
316.05,210.7,29.5,9.3,18.4
80.25,53.5,2,21.4,8.1
391.95,261.3,42.7,54.7,24.2
358.95,239.3,15.5,27.3,15.7
154.05,102.7,29.6,8.4,14
196.65,131.1,42.8,28.9,18
103.5,69,9.3,0.9,9.3
47.25,31.5,24.6,2.2,9.5
208.95,139.3,14.5,10.2,13.4
356.1,237.4,27.5,11,18.9
325.2,216.8,43.9,27.2,22.3
298.65,199.1,30.6,38.7,18.3
164.7,109.8,14.3,31.7,12.4
40.2,26.8,33,19.3,8.8
194.1,129.4,5.7,31.3,11
320.1,213.4,24.6,13.1,17
25.35,16.9,43.7,89.4,8.7
41.25,27.5,1.6,20.7,6.9
180.75,120.5,28.5,14.2,14.2
8.1,5.4,29.9,9.4,5.3
174,116,7.7,23.1,11
114.6,76.4,26.7,22.3,11.8
359.7,239.8,4.1,36.9,12.3
112.95,75.3,20.3,32.5,11.3
102.6,68.4,44.5,35.6,13.6
320.25,213.5,43,33.8,21.7
289.8,193.2,18.4,65.7,15.2
114.45,76.3,27.5,16,12
166.05,110.7,40.6,63.2,16
132.45,88.3,25.5,73.4,12.9
164.7,109.8,47.8,51.4,16.7
201.45,134.3,4.9,9.3,11.2
42.9,28.6,1.5,33,7.3
326.55,217.7,33.5,59,19.4
376.35,250.9,36.5,72.3,22.2
161.1,107.4,14,10.9,11.5
244.95,163.3,31.6,52.9,16.9
296.4,197.6,3.5,5.9,11.7
277.35,184.9,21,22,15.5
434.55,289.7,42.3,51.2,25.4
202.8,135.2,41.7,45.9,17.2
333.6,222.4,4.3,49.8,11.7
444.6,296.4,36.3,100.9,23.8
420.3,280.2,10.1,21.4,14.8
281.85,187.9,17.2,17.9,14.7
357.3,238.2,34.3,5.3,20.7
206.85,137.9,46.4,59,19.2
37.5,25,11,29.7,7.2
135.6,90.4,0.3,23.2,8.7
19.65,13.1,0.4,25.6,5.3
383.1,255.4,26.9,5.5,19.8
338.7,225.8,8.2,56.5,13.4
362.55,241.7,38,23.2,21.8
263.55,175.7,15.4,2.4,14.1
314.4,209.6,20.6,10.7,15.9
117.3,78.2,46.8,34.5,14.6
112.65,75.1,35,52.7,12.6
208.8,139.2,14.3,25.6,12.2
114.6,76.4,0.8,14.8,9.4
188.55,125.7,36.9,79.2,15.9
29.1,19.4,16,22.3,6.6
211.95,141.3,26.8,46.2,15.5
28.2,18.8,21.7,50.4,7
336,224,2.4,15.6,11.6
184.65,123.1,34.6,12.4,15.2
344.25,229.5,32.3,74.2,19.7
130.8,87.2,11.8,25.9,10.6
11.7,7.8,38.9,50.6,6.6
120.3,80.2,0,9.2,8.8
330.45,220.3,49,3.2,24.7
89.4,59.6,12,43.1,9.7
1.05,0.7,39.6,8.7,1.6
397.8,265.2,2.9,43,12.7
12.6,8.4,27.2,2.1,5.7
329.7,219.8,33.5,45.1,19.6
55.35,36.9,38.6,65.6,10.8
72.45,48.3,47,8.5,11.6
38.4,25.6,39,9.3,9.5
410.55,273.7,28.9,59.7,20.8
64.5,43,25.9,20.5,9.6
277.35,184.9,43.9,1.7,20.7
110.1,73.4,17,12.9,10.9
290.55,193.7,35.4,75.6,19.2
330.75,220.5,33.2,37.9,20.1
156.9,104.6,5.7,34.4,10.4
144.3,96.2,14.8,38.9,11.4
210.45,140.3,1.9,9,10.3
360.15,240.1,7.3,8.7,13.2
364.8,243.2,49,44.3,25.4
57,38,40.3,11.9,10.9
67.05,44.7,25.8,20.6,10.1
421.05,280.7,13.9,37,16.1
181.5,121,8.4,48.7,11.6
296.4,197.6,23.3,14.2,16.6
256.95,171.3,39.7,37.7,19
281.7,187.8,21.1,9.5,15.6
6.15,4.1,11.6,5.7,3.2
140.85,93.9,43.5,50.5,15.3
224.7,149.8,1.3,24.3,10.1
17.55,11.7,36.9,45.2,7.3
197.55,131.7,18.4,34.6,12.9
258.75,172.5,18.1,30.7,14.4
128.55,85.7,35.8,49.3,13.3
282.6,188.4,18.1,25.6,14.9
245.25,163.5,36.8,7.4,18
175.8,117.2,14.7,5.4,11.9
351.75,234.5,3.4,84.8,11.9
26.85,17.9,37.6,21.6,8
310.2,206.8,5.2,19.4,12.2
323.1,215.4,23.6,57.6,17.1
426.45,284.3,10.6,6.4,15
75,50,11.6,18.4,8.4
246.75,164.5,20.9,47.4,14.5
29.4,19.6,20.1,17,7.6
252.6,168.4,7.1,12.8,11.7
333.6,222.4,3.4,13.1,11.5
415.35,276.9,48.9,41.8,27
372.6,248.4,30.2,20.3,20.2
255.3,170.2,7.8,35.2,11.7
415.05,276.7,2.3,23.7,11.8
248.4,165.6,10,17.6,12.6
234.9,156.6,2.6,8.3,10.5
